valid,X,Y,algorithm,description,comment
1,DFL,URB,"U' L2 U, R2","R2法","R2/L2パターン (持ち替えなし)"
1,URB,DFL,"[R2, U' L2 U]","R2法","R2/L2パターン (持ち替えなし)"
1,DFL,UBL,"[L2, U R2 U']","L2法","R2/L2パターン (持ち替えなし)"
1,UBL,DFL,"[U R2 U', L2]","L2法","R2/L2パターン (持ち替えなし)"
1,DBR,UBL,"[y: R2, U' L2 U]","R2法","R2/L2パターン (持ち替えあり)"
1,UBL,DBR,"[y: U' L2 U, R2]","R2法","R2/L2パターン (持ち替えあり)"
1,DBR,ULF,"[y: U R2 U', L2]","L2法","R2/L2パターン (持ち替えあり)"
1,ULF,DBR,"[y: L2, U R2 U']","L2法","R2/L2パターン (持ち替えあり)"
1,LDF,BRD,"[R, D' L' D]","R面インターチェンジ","R面インターチェンジ ちなみにこの2パターン (「すな」と「なす」) は他の方法では無理"
1,BRD,LDF,"[D' L' D, R]","R面インターチェンジ","R面インターチェンジ ちなみにこの2パターン (「すな」と「なす」) は他の方法では無理"
1,FLD,LFU,"R U' F2 U R' U' R F2 R' U","サイクリックシフト","サイクリックシフト TODO: 他にも適用したい 2015-04-28 たくさん https://twitter.com/gohamtakanai/status/593033973820891137"
1,LFU,FLD,"U' R F2 R' U R U' F2 U R'","サイクリックシフト","上の逆手順"
1,UFR,RBU,"[D': F2, R U R2 U' R']","1手セットアップ＋F面インターチェンジ","2015-04-28 うえしゅう https://twitter.com/uesyuu_tkb/status/593051080646234114"
1,RBU,UFR,"[D': R U R2 U' R', F2]","1手セットアップ＋F面インターチェンジ","上の逆手順"
1,BLU,URB,"[D': R'; U2, R' D R]","セットアップ＋A9","2015-04-29 たくさん https://twitter.com/gohamtakanai/status/593205722856300545 https://twitter.com/bot_ulb/status/593207422656712704"
1,URB,BLU,"[D': R'; R' D R, U2]","セットアップ＋A9","上の逆手順"
1,BRD,DLB,"[R: F' U' F, D2]","1手セットアップ＋D面インターチェンジ","2015-04-30 こだまくん https://twitter.com/ceylon_cube/status/593428663674081280"
1,DLB,BRD,"[R: D2, F' U' F]","1手セットアップ＋D面インターチェンジ","上の逆手順"
0,BRD,DFL,"[R: F' U' F, D']","1手セットアップ＋D面インターチェンジ","上の発展版だけどB2セットアップとどっちがいいか微妙"
0,DFL,BRD,"[R: D', F' U' F]","1手セットアップ＋D面インターチェンジ","上の発展版だけどB2セットアップとどっちがいいか微妙"
1,BRD,BLU,"[x: D2, L U2 L']","持ち替え＋B面(D面)インターチェンジ","2015-05-02 こうさん https://twitter.com/ko_obtk/status/594448148954648576"
1,BLU,BRD,"[x: L U2 L', D2]","持ち替え＋B面(D面)インターチェンジ","上の逆手順"
1,FRU,LBD,"[R, U L2 U']","R列インターチェンジ","2015-05-05 Takey https://twitter.com/Takey_cube/status/595538299231424512"
1,LBD,FRU,"[U L2 U', R]","R列インターチェンジ","上の逆手順"
